gcm,units,precip_change,tmax_change,tmin_change,tavg_change,rhmin_change,rhmax_change,heat_index_change,heat_index_ec_change,heat_index_dan_change,temp_over_95_pctl_change,temp_over_99_pctl_change,temp_over_95_pctl_length_change,temp_under_freeze_change,temp_under_freeze_length_change,temp_under_5_pctl_change,no_precip_change,no_precip_length_change,precip_95_pctl_change,precip_99_pctl_change,precip_moderate_change,precip_heavy_change,freeze_thaw_change,gdd_change,frost_change,grow_length_change,cf
bcc-csm1-1-m.rcp45,imperial,-1.446843713053328e-4,3.279024973078066,2.99899168157728,3.139008327327673,-1.558524790586965,-1.3139573246570535,3.144134216668043,19.513333333333332,0,37.22666666666667,20.259999999999998,63,-13.00666666666666,-10,-9.906666666666668,4.126666666666665,-7,0.3333333333333339,0.040000000000000036,0.14666666666666667,0,-14.733333333333334,21.66666666666663,3.7399999999999984,19.216983334431433,Warm Dry
bcc-csm1-1-m.rcp85,imperial,-2.0851917252068253e-5,4.1446304738496735,3.8864091700999523,4.015519821974806,-2.11348678017875,-1.9414457128021354,4.005301088754216,27.413333333333334,0,45.026666666666664,27.793333333333337,54,-16.50666666666666,-20,-14.673333333333334,3.9599999999999795,-9,-0.033333333333333215,0.07333333333333336,0.24666666666666665,0,-20.53333333333333,26.899999999999977,5.206666666666667,19.6587780703438,Central
bcc-csm1-1.rcp45,imperial,-0.0017229033854386303,3.68052241275295,2.884021085696361,3.2822717492246625,-2.540536494704387,-2.359790692031325,3.4907230552450983,24.526666666666664,0,42.76,27.493333333333332,38,-13.079999999999984,-13,-10.040000000000001,7.860000000000014,1,0.2999999999999998,0.22000000000000008,0.26666666666666666,0,-11.27333333333334,20.980000000000018,2.7733333333333334,19.73613029025185,Warm Dry
bcc-csm1-1.rcp85,imperial,0.001660369560587592,4.4120266693001184,3.7762448865738705,4.094135777936998,-2.7566611723582533,-1.221675236971933,4.2709611366871485,30.09333333333333,0,46.16,31.426666666666662,25,-20.046666666666653,-16,-13.64,3.4600000000000364,-24,0.5333333333333332,0.62,0.5333333333333334,0.03333333333333333,-13.406666666666666,27.346666666666636,2.606666666666669,26.108031823661776,Hot Wet
BNU-ESM.rcp45,imperial,9.094436918989507e-4,4.532048653684242,3.5245427004318586,4.028295677058054,-1.8835170867145195,-0.3947705782968569,4.5598541962020605,16.393333333333334,0,35.32666666666667,20.42666666666667,33,-20.819999999999993,-13,-10.940000000000001,2.1399999999999864,-6,1.1399999999999997,0.2666666666666667,0.13333333333333336,0,-13.873333333333335,30.78666666666666,4.659999999999997,19.20744506124916,Central
BNU-ESM.rcp85,imperial,-5.475629151572639e-4,5.013830494046545,3.833431367163982,4.42363093060527,-3.1265319238534417,-0.6993160553268893,4.9982669277273075,21.86,0,42.093333333333334,24.526666666666664,14,-20.22,-20,-9.606666666666667,2.839999999999975,-9,-0.293333333333333,-0.06666666666666665,0.06666666666666665,0,-13.473333333333343,32.98666666666665,7.2933333333333294,28.183897481712933,Central
CanESM2.rcp45,imperial,0.0027182870360775366,4.973718326908099,5.36565564642067,5.169686986664388,-0.17803203804722045,-1.695332681907658,5.105052058910019,18.013333333333335,0,34.49333333333333,18.060000000000002,34,-40.486666666666665,-11,-15.540000000000001,-2.0200000000000387,-18,0.5800000000000001,0.020000000000000018,0.13333333333333336,0,-35.18000000000001,42.48666666666668,-2.613333333333337,40.78754991818113,Hot Wet
CanESM2.rcp85,imperial,0.0030123886307264827,5.4121332380781695,5.5266773802732345,5.4694053091756984,-0.0737833833543533,-1.475173281996021,5.576248948333259,25.71333333333333,0.03333333333333333,42.193333333333335,23.626666666666665,20,-37.18666666666667,-14,-15.940000000000001,1.8466666666666356,-5,0.6466666666666665,0.22000000000000008,0.39999999999999997,0.03333333333333333,-35.88000000000001,41.920000000000016,0.4199999999999946,38.906435071266515,Hot Wet
CCSM4.rcp45,imperial,6.719663134570619e-4,4.013276340513016,2.5651484712114865,3.2892124058622585,NA,NA,NA,0,0,34.82666666666667,19.826666666666668,36,-14.840000000000003,-32,-9.74,5.373333333333335,27,0.13999999999999968,0.3533333333333334,0.23333333333333334,0,-18.96666666666667,31.873333333333335,12.126666666666665,30.749132538308487,Central
CCSM4.rcp85,imperial,-0.001757113875719661,5.208522366532435,3.7731105121960553,4.490816439364252,NA,NA,NA,0,0,52.32666666666667,34.42666666666666,64,-19.373333333333335,-31,-15.940000000000001,9.00666666666666,-9,0.13999999999999968,0.18666666666666665,0.26666666666666666,0.03333333333333333,-22.433333333333337,37.34000000000003,13.126666666666665,33.952472868690876,Hot Dry
CNRM-CM5.rcp45,imperial,0.005847788460782509,2.6859591489644004,3.634523388647267,3.1602412688058337,-0.25773941715963034,0.6004008292548519,2.7807708299133296,8.446666666666667,0,18.159999999999997,12.56,26,-29.859999999999985,-17,-11.64,-0.7600000000000477,0,1.333333333333333,0.31999999999999995,0.4066666666666666,0,-31.686666666666653,32.28666666666663,-0.9466666666666725,37.02656094308762,Warm Wet
CNRM-CM5.rcp85,imperial,0.009325643223962461,2.895607002312346,4.134670644452292,3.5151388233823155,-0.12498937829988677,0.9840126257303154,3.0170546285483866,7.279999999999999,0,17.726666666666667,9.66,25,-34.959999999999994,-27,-14.306666666666668,-4.260000000000048,9,2.666666666666666,1.02,0.7733333333333334,0.1,-38.22,37.05333333333334,-0.980000000000004,36.89707851948751,Warm Wet
CSIRO-Mk3-6-0.rcp45,imperial,-0.002157658503172552,4.285336254040033,3.473834521353062,3.879585387696544,-2.483431673042773,-3.6210125450130306,4.218780997340936,24.96,0,39.61333333333333,26.693333333333335,29,-16.393333333333317,-8,-8.473333333333334,12.733333333333292,4,0.6666666666666661,0.18666666666666665,0.14666666666666667,0.03333333333333333,-8.439999999999998,25.25333333333333,3.1466666666666683,19.160346407239103,Warm Dry
CSIRO-Mk3-6-0.rcp85,imperial,0.0013089937123054174,4.026526421150223,3.695502797510656,3.8610146093304394,-2.0163838329860226,-2.2621078060974327,3.9927714600083064,25.46,0,37.94666666666667,26.159999999999997,32,-16.359999999999985,-8,-9.573333333333334,5.199999999999989,-19,1.4333333333333327,0.9866666666666667,0.5466666666666666,0,-8.939999999999998,22.019999999999982,0.4799999999999969,17.249994879240546,Central
GFDL-ESM2G.rcp45,imperial,-0.0010163919928348683,4.591406171439374,2.9896870973674865,3.7905466344034267,-3.590520582270326,-2.6716836323478503,4.447126034961215,29.066666666666666,0,39.126666666666665,32.99333333333333,25,-20.060000000000002,-15,-10.073333333333334,9.420000000000016,-12,0.6200000000000001,0.18666666666666665,0.12,0,-18.200000000000003,28.460000000000036,3.4999999999999964,21.48984226880691,Central
GFDL-ESM2G.rcp85,imperial,3.5824702938589553e-4,4.856614240189984,3.5309868390791124,4.193800539634545,-3.0566664067803586,-1.805972667073533,4.760074067782824,27.03333333333333,0,36.89333333333333,31.093333333333334,30,-24.593333333333348,-23,-12.073333333333334,5.486666666666679,-13,0.28666666666666707,0.4866666666666667,0.2866666666666666,0.03333333333333333,-20.30000000000001,32.22666666666669,2.9333333333333336,23.88872369698197,Central
GFDL-ESM2M.rcp45,imperial,0.002290961433846314,3.7033841180702467,1.786874136616639,2.7451291273434393,0.26864704491801916,-0.1809474472878776,3.9187028715070795,21.366666666666664,0.06666666666666667,21.86,18.526666666666664,27,-19,-31,-8.14,3.46666666666664,13,0.5999999999999996,0.6533333333333334,0.7466666666666666,0.03333333333333333,-18.673333333333332,27.806666666666672,3.7666666666666657,30.23369719932768,Warm Wet
GFDL-ESM2M.rcp85,imperial,0.006989247622224373,3.0788506488746634,1.5151276258092352,2.2969891373419458,1.31108310558594,2.299100455468107,3.422844103028737,15.833333333333334,0,11.426666666666666,10.693333333333333,8,-17.799999999999983,-15,-8.273333333333333,-3.2666666666667084,4,1.1999999999999993,0.5866666666666666,0.3133333333333333,0,-13.939999999999998,22.773333333333312,-0.13333333333333286,28.390913238896673,Warm Wet
HadGEM2-CC365.rcp45,imperial,-0.0014774221816747576,4.78421333907626,3.855175264426485,4.319694301751376,-3.44672695231208,-3.3475691230605804,4.660727925090676,17.866666666666667,0,39.96,23.793333333333337,41,-21.206666666666678,-16,-15.373333333333335,9.186666666666667,-8,0.25333333333333385,0.22000000000000008,0.17333333333333334,0,-21.02666666666667,34.15333333333331,7.219999999999999,27.328665979195193,Hot Dry
HadGEM2-CC365.rcp85,imperial,-7.856955601213966e-4,5.506140791466905,4.483166280614277,4.994653536040595,-3.855381302056454,-2.787530653232693,5.33547897378795,26.5,0,51.92666666666666,34.126666666666665,62,-21.506666666666675,1,-16.10666666666667,7.053333333333342,-24,-0.24666666666666615,0.3866666666666666,0.20666666666666667,0,-16.926666666666662,34.120000000000005,6.6199999999999974,32.14892741710372,Hot Dry
HadGEM2-ES365.rcp45,imperial,-0.0034636858870087245,4.902945965181317,4.023605855313974,4.463275910247646,-2.7067189519531922,-4.4096786874416125,4.741855649670384,26.599999999999998,0,50.92666666666666,32.76,43,-21.959999999999994,-15,-12.040000000000001,14.193333333333328,15,0,0.5333333333333333,0.24666666666666665,0.03333333333333333,-19.08,29.180000000000007,2.4466666666666654,24.447179024823043,Hot Dry
HadGEM2-ES365.rcp85,imperial,-0.007337171280837933,6.080346529305302,5.070696416639471,5.57552147297239,-3.918831647790018,-6.324991816330936,5.8292655886694575,46.53333333333334,0,64.86,55.526666666666664,50,-29.626666666666665,-33,-15.273333333333333,15.093333333333305,12,-1.3333333333333335,0.13333333333333341,0.21333333333333332,0.03333333333333333,-24.680000000000007,36.44666666666666,1.7800000000000011,30.05890840125832,Hot Dry
inmcm4.rcp45,imperial,-6.400105684441285e-4,2.102600039265809,1.614059407294718,1.8583297232802636,-0.7793175655243765,-1.1371287279873172,2.0306638652450175,7.533333333333332,0,19.92666666666667,11.326666666666666,25,-6.2266666666666595,-9,-7.9733333333333345,4.246666666666613,-23,0.1200000000000001,-0.013333333333333308,-0.033333333333333326,0.03333333333333333,-10.206666666666663,16.166666666666657,6.046666666666667,16.46647771633249,Warm Dry
inmcm4.rcp85,imperial,-0.001578058624365268,2.7551141054919697,2.555350236320983,2.655232170906473,-1.514757027702629,-0.6442586975058333,2.6099181377052005,11.833333333333332,0,26.39333333333333,15.226666666666665,28,-11.45999999999998,-9,-5.373333333333333,3.613333333333287,-16,-0.9466666666666668,-0.3466666666666667,-0.033333333333333326,0,-10.206666666666663,19.400000000000006,3.113333333333337,18.336818645496948,Warm Dry
IPSL-CM5A-LR.rcp45,imperial,-1.222260063648492e-4,4.572490523007602,4.268114833053758,4.42030267803068,-3.7201267834394223,-3.375916406417531,4.403074839760862,22.560000000000002,0,40.56,25.46,28,-26.733333333333334,-14,-12.773333333333333,8.373333333333335,8,0.4933333333333332,0.5199999999999999,0.5666666666666667,0,-22.74666666666667,33.400000000000034,2,31.624526533632377,Central
IPSL-CM5A-LR.rcp85,imperial,0.001563055738899817,5.043898584655238,4.576032531366607,4.809965558010923,-4.071678275616563,-2.1272909245244307,4.834118744041774,29.79333333333333,0,45.52666666666667,31.526666666666664,56,-27.46666666666667,-13,-11.073333333333334,3.9733333333333576,6,0.4933333333333332,0.22000000000000008,0.2,0,-23.38000000000001,34.43333333333334,2.2333333333333343,32.26178143559315,Hot Wet
IPSL-CM5A-MR.rcp45,imperial,-0.0010319617808829118,4.280014285965393,3.9738331698057436,4.126923727885568,-2.7976790843884984,-2.927395665148751,4.196558496362705,18.793333333333337,0,35.16,23.326666666666668,38,-23.44666666666666,-22,-11.073333333333334,7.106666666666683,10,0.39999999999999947,0.4866666666666667,0.3,0,-23.22666666666666,34.98000000000002,6.806666666666665,31.48176025309752,Hot Dry
IPSL-CM5A-MR.rcp85,imperial,-0.0042152276968197705,5.88870523129809,4.774802648734365,5.3317539400162275,-5.176623809844763,-5.308416622160209,5.649904335347337,31.893333333333334,0,49.52666666666667,38.49333333333333,70,-32.51333333333332,-17,-12.84,14.673333333333346,22,0.06666666666666643,0.4866666666666667,0.4333333333333333,0.06666666666666667,-27.826666666666668,44.379999999999995,6.773333333333333,46.13485950280702,Hot Dry
IPSL-CM5B-LR.rcp45,imperial,0.0022265692192746586,2.960616057867753,3.041965677545946,3.0012908677068495,-2.05066528099902,-1.0582475012320458,2.9277141385153485,10.38,0,23.126666666666665,12.426666666666668,14,-16.946666666666687,-6,-12.373333333333335,4.693333333333328,4,0.6333333333333329,0.6533333333333334,0.3333333333333333,0,-19.686666666666667,24.493333333333368,3.480000000000004,15.245069448308698,Warm Wet
IPSL-CM5B-LR.rcp85,imperial,0.0016059009682002912,3.679994414316184,3.5571478378915984,3.6185711261038875,-2.7939139659115355,-1.0293272186750926,3.6201735332641007,14.013333333333334,0,27.36,16.659999999999997,38,-21.846666666666678,-25,-13.073333333333334,3.5266666666666993,2,-0.06666666666666732,0.3866666666666666,0.39999999999999997,0,-20.986666666666665,26.960000000000008,1.0799999999999983,22.041660156664136,Central
MIROC-ESM-CHEM.rcp45,imperial,8.163471737142325e-4,5.8059110909360925,4.822097866354213,5.314004478645153,-3.1462834480927384,-3.609831776899753,5.725452957358613,28.96666666666667,0.4666666666666667,52.39333333333333,35.79333333333333,30,-35.239999999999995,-14,-14.173333333333334,6.759999999999991,-8,0.9800000000000004,0.5333333333333333,0.48000000000000004,0,-25.16666666666667,41.10666666666663,0.93333333333333,35.66472726054053,Hot Wet
MIROC-ESM-CHEM.rcp85,imperial,0.0010728388964633684,7.0754949776936655,5.342691341550456,6.209093159622064,-3.6745413035798506,-2.3828704833111374,7.00131816090645,41.03333333333333,1.7333333333333334,59.66,48.46,64,-37.273333333333326,-14,-14.14,6.526666666666642,-11,0.31333333333333346,-0.033333333333333326,0.21333333333333332,0.03333333333333333,-30.433333333333337,47.00666666666666,4.299999999999997,41.59861516946728,Hot Wet
MIROC-ESM.rcp45,imperial,0.0033402420933209068,4.836419413518627,4.399831185044171,4.618125299281402,-0.8084466164758055,-1.2702465248846977,4.918849260488223,25.48,0.4,41.82666666666667,27.39333333333333,22,-29.539999999999992,-12,-13.006666666666668,4.406666666666638,7,1.6999999999999993,0.8533333333333334,0.56,0,-20.133333333333326,33.806666666666644,-0.4866666666666717,32.69678487807113,Hot Wet
MIROC-ESM.rcp85,imperial,0.008809354072624516,5.376338123229601,4.743794497578314,5.060066310403961,1.0814636253766956,2.9904808837799806,5.666500018953023,25.346666666666668,0.9,40.26,26.093333333333334,24,-38.106666666666655,-14,-11.406666666666666,-2.4266666666666765,1,2.666666666666666,1.3200000000000003,0.7933333333333334,0.1,-28.633333333333326,43.23999999999998,0.346666666666664,36.92904397177597,Hot Wet
MIROC5.rcp45,imperial,0.0016552525402202048,4.935556437303589,4.122890109966953,4.529223273635274,-3.5042021608244553,-1.3063545154054736,4.920261513399453,16.12,0,33.49333333333333,17.42666666666667,21,-28.340000000000003,-40,-14.440000000000001,1.8733333333333348,-3,1.1399999999999997,0.28666666666666674,0.14666666666666667,0,-26.680000000000007,42.79333333333335,9.459999999999994,42.6629482271874,Central
MIROC5.rcp85,imperial,-5.463186543820664e-5,5.732391308386468,4.498944528679388,5.115667918532928,-4.721078875282728,-3.6581891518298875,5.6161542691136646,24.02,0,42.06,25.693333333333335,48,-31.173333333333332,-48,-14.040000000000001,5.373333333333335,7,0.3733333333333331,0.2533333333333333,0.24666666666666665,0,-29.580000000000013,44.860000000000014,8.459999999999994,40.16127007845043,Hot Dry
MRI-CGCM3.rcp45,imperial,-0.0010072732744804067,1.1793671015319092,2.367016321763444,1.7731917116476836,2.743458239660974,-1.8583210430115287,1.302642666630689,7.793333333333333,0,14.060000000000002,7.993333333333332,-3,-9.666666666666686,1,-7.873333333333333,5.3799999999999955,-4,-0.08000000000000007,0.15333333333333343,0.24666666666666665,0,-11.186666666666667,10.560000000000002,-3.913333333333334,13.463609948793561,Warm Dry
MRI-CGCM3.rcp85,imperial,6.847257596814676e-4,1.750507564289009,3.1234006015330706,2.4369540829110434,2.819276376835081,-1.7038643572298469,1.8795069623276532,8.893333333333334,0,17.493333333333332,11.793333333333333,22,-13.26666666666668,-9,-12.440000000000001,2.3466666666666356,-10,-0.28000000000000025,0.15333333333333343,0.3466666666666666,0,-14.519999999999996,13.960000000000036,-4.213333333333335,17.170640508765274,Warm Wet
NorESM1-M.rcp45,imperial,-0.003301266948102455,4.161907341306815,2.873689213291854,3.5177982772993346,NA,NA,NA,0,0,40.526666666666664,25.993333333333332,43,-14.466666666666669,-18,-11.606666666666667,9.020000000000039,4,-0.006666666666666821,-0.013333333333333308,0.21999999999999997,0,-7.299999999999997,24.51333333333335,4.719999999999999,22.621398365992235,Warm Dry
NorESM1-M.rcp85,imperial,-0.0010313277309354704,4.832366184980742,3.7617215388302796,4.2970438619055145,NA,NA,NA,0,0,46.56,28.926666666666662,61,-20.900000000000006,-1,-15.806666666666667,3.2533333333333303,24,-0.040000000000000036,0.2533333333333333,0.3533333333333333,0.03333333333333333,-14.333333333333329,29.946666666666687,4.153333333333336,27.936183739601148,Central
