gcm,date,yr,precip,tmin,tmax,tavg,rhmin,rhmax,units
CCSM4.rcp45,1996-01-04T00:00:00Z,1996,0,23.86164672851544,49.096363525390416,36.47900512695293,NA,NA,imperial
bcc-csm1-1.rcp45,2066-01-16T00:00:00Z,2066,0,3.6387280273441434,35.67238891601539,19.655558471679768,37.198169708252,87.6733703613281,imperial
bcc-csm1-1.rcp45,2042-02-04T00:00:00Z,2042,0,17.060120849609575,49.34877441406155,33.20444763183556,17.2467823028564,46.3047256469727,imperial
bcc-csm1-1.rcp45,2077-04-25T00:00:00Z,2077,0,43.347932128905825,72.2551037597654,57.801517944335615,19.099401473999,75.020393371582,imperial
CCSM4.rcp45,2015-10-29T00:00:00Z,2015,0,34.73959472656156,60.934791259765404,47.83719299316349,NA,NA,imperial
BNU-ESM.rcp45,1979-05-12T00:00:00Z,1979,0,39.364289550780825,70.55584838867111,54.96006896972597,18.8604755401611,70.0035858154297,imperial
BNU-ESM.rcp85,2060-10-09T00:00:00Z,2060,0,46.83114746093844,74.45583007812496,60.6434887695317,25.0178642272949,99.8840713500977,imperial
BNU-ESM.rcp45,2050-12-01T00:00:00Z,2050,0,17.115821533203814,50.83950927734418,33.977665405273996,25.0288505554199,68.722900390625,imperial
GFDL-ESM2G.rcp45,2070-08-25T00:00:00Z,2070,0.23234855471633545,57.59802368164043,83.5539379882809,70.57598083496066,35.3825416564941,100,imperial
CanESM2.rcp85,1957-11-17T00:00:00Z,1957,0,28.98935058593844,60.11905639648461,44.55420349121152,37.5047340393066,99.9838409423828,imperial
bcc-csm1-1.rcp85,2042-06-01T00:00:00Z,2042,0.05542571619739685,50.85423095703083,79.0951916503904,64.97471130371062,15.4960803985596,85.4901351928711,imperial
bcc-csm1-1.rcp85,2046-01-20T00:00:00Z,2046,0.05607763143974961,28.914423828124995,47.487470703124984,38.20094726562499,57.0976676940918,76.3829193115234,imperial
CanESM2.rcp85,2092-04-09T00:00:00Z,2092,0,43.83242919921918,82.35472534179615,63.093577270507666,14.0645008087158,47.8735046386719,imperial
CanESM2.rcp85,2076-02-09T00:00:00Z,2076,0,31.38003051757886,65.84095581054618,48.61049316406252,29.2575626373291,80.6011810302734,imperial
CCSM4.rcp85,1985-01-29T00:00:00Z,1985,0,20.975758056640416,53.64673583984421,37.311246948242314,NA,NA,imperial
BNU-ESM.rcp85,1980-04-01T00:00:00Z,1980,0,28.66937377929617,65.64430053710959,47.15683715820288,14.9815120697021,48.3502311706543,imperial
CCSM4.rcp45,2070-02-22T00:00:00Z,2070,0,39.87092407226544,68.03789184570388,53.95440795898466,NA,NA,imperial
bcc-csm1-1.rcp85,2081-02-20T00:00:00Z,2081,0.0743488063962441,35.13724487304614,53.11192138671919,44.124583129882666,30.2665920257568,99.8024597167969,imperial
GFDL-ESM2G.rcp45,2062-07-22T00:00:00Z,2062,0,58.75812500000001,89.9164501953116,74.3372875976558,28.7662620544434,88.6086654663086,imperial
CanESM2.rcp85,2093-09-27T00:00:00Z,2093,0,60.34273803710954,99.14892089843846,79.745829467774,20.8584384918213,55.4587135314941,imperial
GFDL-ESM2G.rcp85,2062-01-17T00:00:00Z,2062,0.09651720993162129,32.00800903320385,50.88361938476544,41.44581420898464,46.8264198303223,85.3917388916016,imperial
bcc-csm1-1.rcp85,2010-04-06T00:00:00Z,2010,0,41.41444824218843,69.44628417968846,55.430366210938445,13.7406816482544,45.9793014526367,imperial
GFDL-ESM2G.rcp45,2053-08-18T00:00:00Z,2053,0.04055531006159764,57.46920898437503,94.03511474609417,75.7521618652346,16.8518047332764,69.2905120849609,imperial
GFDL-ESM2G.rcp45,2080-04-26T00:00:00Z,2080,0.24208870459729293,34.899885253905836,59.07436645507886,46.98712585449235,16.4899196624756,67.3909606933594,imperial
CanESM2.rcp85,2000-07-27T00:00:00Z,2000,0,57.97705200195384,91.728095703125,74.85257385253942,24.2638072967529,78.0581207275391,imperial
GFDL-ESM2G.rcp85,1993-07-25T00:00:00Z,1993,0,57.91668212890585,86.65922363281157,72.28795288085871,26.8761539459229,86.3101806640625,imperial
GFDL-ESM2G.rcp85,2069-12-16T00:00:00Z,2069,0,15.784278564453814,37.938264160155825,26.86127136230482,20.6815929412842,71.4436798095703,imperial
BNU-ESM.rcp85,2012-06-16T00:00:00Z,2012,0,58.804432373046154,92.41973999023465,75.6120861816404,13.4400291442871,40.2347106933594,imperial
